Subgraph,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
OpenVINO-EP-subgraph_1.xml,passed 100,['14'],['14']
OpenVINO-EP-subgraph_2.xml,passed 100,['-1'],['-1']
OpenVINO-EP-subgraph_3.xml,failed 42,"['0.77814656,0.237874,1.1049075,0.7604741,0.4980618', '-0.61396104,0.3827784,-0.6029012,0.38979712,0.23522435']","['0.7783203,0.23779297,1.1044922,0.7607422,0.49780273', '-0.6142578,0.38305664,-0.60302734,0.38964844,0.23535156']"
OpenVINO-EP-subgraph_4.xml,failed 33,"['0.27253175,0.320032,0.7051519,0.17724362,-0.7397353', '0.90374607,1.3564011,-1.4910547,0.11623836,0.9867861']","['0.27246094,0.3203125,0.7055664,0.17736816,-0.7402344', '0.9038086,1.3564453,-1.4912109,0.11608887,0.9873047']"
OpenVINO-EP-subgraph_5.xml,failed 14,"['0.65378094,0.6607911,-0.106358856,-0.061056633,0.117987886', '-0.48437265,-0.0008142218,0.0235795,-0.014941022,0.13425042']","['0.6533203,0.66015625,-0.1060791,-0.061187744,0.1182251', '-0.48486328,-0.00067329407,0.023925781,-0.015022278,0.13427734']"
OpenVINO-EP-subgraph_6.xml,failed 12,"['-0.79518616,-0.5168937,0.48754647,0.34169272,-1.5035532', '1.5313363,1.0922571,-2.316333,0.81033945,0.99939346']","['-0.7949219,-0.51708984,0.48754883,0.34155273,-1.5019531', '1.53125,1.0927734,-2.3164062,0.8100586,1.0']"
OpenVINO-EP-subgraph_7.xml,failed 8,"['1.8196415,1.9265344,-0.35009056,1.0060768,0.44118953', '-0.23694777,0.11134817,0.35565317,-0.0689463,0.07149915']","['1.8203125,1.9277344,-0.3503418,1.0058594,0.44140625', '-0.23632812,0.111572266,0.35498047,-0.06915283,0.07098389']"
OpenVINO-EP-subgraph_8.xml,failed 8,"['-0.21614891,-0.09336783,-0.09599301,-0.5288471,0.09584603', '0.57025814,1.1551635,-0.84132314,1.2169387,0.06266766']","['-0.21643066,-0.09338379,-0.09588623,-0.5288086,0.0960083', '0.5703125,1.1552734,-0.8413086,1.2167969,0.062438965']"
OpenVINO-EP-subgraph_9.xml,failed 9,"['0.19964641,-0.14578985,-0.23827809,0.2742958,0.7065153', '1.2819304,0.71083385,1.809968,-0.13394946,-0.044341326']","['0.19958496,-0.14587402,-0.23828125,0.27441406,0.7060547', '1.28125,0.7104492,1.8095703,-0.13378906,-0.044525146']"
OpenVINO-EP-subgraph_10.xml,failed 9,"['0.3435121,1.2527753,1.5966637,-0.33402842,1.0628284', '0.20954788,0.7871826,-1.0908341,0.44291493,1.2781249']","['0.34375,1.2529297,1.5966797,-0.33447266,1.0625', '0.20910645,0.7866211,-1.0898438,0.4423828,1.2773438']"
OpenVINO-EP-subgraph_11.xml,failed 8,"['-1.8189849,1.2604421,-0.020430833,-1.8245971,-0.24358279', '0.65157706,-0.19699499,-0.4133764,-0.22983178,0.7831831']","['-1.8173828,1.2607422,-0.020507812,-1.8242188,-0.24377441', '0.6513672,-0.1973877,-0.41357422,-0.22924805,0.7832031']"
OpenVINO-EP-subgraph_12.xml,failed 3,"['0.549672,0.36155093,2.2184973,-0.83751357,1.9480145', '-0.25418296,-0.16064218,0.823722,-0.6760954,-0.63974']","['0.5498047,0.36206055,2.2167969,-0.8378906,1.9472656', '-0.25390625,-0.16052246,0.8222656,-0.67529297,-0.6401367']"
OpenVINO-EP-subgraph_13.xml,failed 7,"['1.4503374,1.3487076,-0.9464474,-0.2446149,-0.3024956', '-0.8592662,2.4782717,-0.64610034,-1.6362913,0.75236285']","['1.4511719,1.3496094,-0.94677734,-0.24523926,-0.30322266', '-0.859375,2.4785156,-0.64501953,-1.6367188,0.7529297']"
