Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.27/input_layernorm/output_3,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0895,0.0787,0.8183,0.3848,0.2479","0.0895,0.0787,0.8183,0.3848,0.2479"
/model/layers.27/attn/o_proj/MatMul_Q4,"0.0018,0.0015,0.0015,0.0013,0.0013",passed 100,failed 98,failed 11,"-0.6675,0.5905,-0.6145,0.6186,0.7882","-0.6675,0.5898,-0.6143,0.6182,0.7881"
/model/layers.27/post_attention_layernorm/SkipLayerNorm_/model/layers.27/post_attention_layernorm/output_3,"0.0026,0.0022,0.0022,0.0021,0.0021",passed 100,failed 93,failed 9,"-0.3964,0.6248,0.0274,1.5225,1.3553","-0.3965,0.6240,0.0278,1.5215,1.3555"
/model/layers.27/post_attention_layernorm/SkipLayerNorm_,0.0005,passed 100,passed 100,failed 0,2.2768,2.2773
/model/layers.27/post_attention_layernorm/SkipLayerNorm__1,0.0001,passed 100,passed 100,failed 0,0.6627,0.6626
/model/layers.27/post_attention_layernorm/SkipLayerNorm_/model/layers.27/post_attention_layernorm/output_0,"0.0018,0.0016,0.0014,0.0014,0.0013",passed 100,failed 99,failed 21,"-0.1365,0.2135,0.0094,0.5321,0.4666","-0.1365,0.2133,0.0096,0.5312,0.4666"
/model/layers.27/mlp/gate_proj/MatMul_Q4,"0.0029,0.0027,0.0025,0.0024,0.0023",passed 100,failed 91,failed 7,"0.8011,0.0508,-1.0607,-0.8746,-1.3445","0.8008,0.0500,-1.0605,-0.8745,-1.3447"
/model/layers.27/mlp/act_fn/Sigmoid,"0.0008,0.0006,0.0006,0.0006,0.0006",passed 100,passed 100,failed 23,"0.6902,0.5127,0.2572,0.2943,0.2068","0.6899,0.5122,0.2571,0.2942,0.2067"
/model/layers.27/mlp/act_fn/Mul,"0.0033,0.0027,0.0027,0.0026,0.0026",passed 100,failed 95,failed 18,"0.5529,0.0260,-0.2728,-0.2574,-0.2780","0.5527,0.0256,-0.2727,-0.2573,-0.2778"
/model/layers.27/mlp/up_proj/MatMul_Q4,"0.0031,0.0031,0.0027,0.0026,0.0026",passed 100,failed 86,failed 6,"-0.0707,1.6524,0.0267,-0.4941,-1.6081","-0.0705,1.6514,0.0270,-0.4939,-1.6074"
/model/layers.27/mlp/Mul,"0.0088,0.0077,0.0076,0.0075,0.0074",passed 100,failed 90,failed 16,"-0.0391,0.0430,-0.0073,0.1272,0.4470","-0.0390,0.0423,-0.0074,0.1271,0.4465"
/model/layers.27/mlp/down_proj/MatMul_Q4,"0.0149,0.0119,0.0112,0.0105,0.0104",failed 99,failed 26,failed 1,"-3.6843,-5.0318,-2.3328,-1.4897,-0.2510","-3.6875,-5.0312,-2.3320,-1.4912,-0.2512"
/model/layers.28/input_layernorm/output_3,"0.0180,0.0134,0.0130,0.0124,0.0113",failed 99,failed 26,failed 1,"-4.0807,-4.4070,-2.3055,0.0328,1.1042","-4.0859,-4.4062,-2.3047,0.0303,1.1045"
/model/layers.28/input_layernorm/SkipLayerNorm_,0.0058,passed 100,failed 0,failed 0,10.8339,10.8281
/model/layers.28/input_layernorm/SkipLayerNorm__1,0.0001,passed 100,passed 100,failed 0,0.3038,0.3040
/model/layers.28/input_layernorm/SkipLayerNorm_/model/layers.28/input_layernorm/output_0,"0.0024,0.0024,0.0022,0.0021,0.0021",passed 100,failed 90,failed 6,"-0.8620,-0.9571,-0.4706,0.0068,0.2228","-0.8638,-0.9570,-0.4707,0.0063,0.2229"
/model/layers.28/attn/qkv_proj/MatMul/output_0,"0.0065,0.0056,0.0053,0.0051,0.0051",passed 100,failed 58,failed 3,"-0.3043,-1.2830,0.9129,0.6022,-0.5226","-0.3059,-1.2842,0.9126,0.6021,-0.5234"
