Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.22/input_layernorm/output_3,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0895,0.0787,0.8183,0.3848,0.2479","0.0895,0.0787,0.8183,0.3848,0.2479"
ConvertLike_7244,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"15.0000,9.0000,7.0000,4.0000,7.0000","15.0000,9.0000,7.0000,4.0000,7.0000"
Transpose_7246,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"15.0000,4.0000,10.0000,2.0000,6.0000","15.0000,4.0000,10.0000,2.0000,6.0000"
Subtract_7247,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"7.0000,-4.0000,2.0000,-6.0000,-2.0000","7.0000,-4.0000,2.0000,-6.0000,-2.0000"
Multiply_7248,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0820,-0.0569,0.0201,0.0688,0.0154","-0.0820,-0.0569,0.0201,0.0688,0.0154"
Transpose_7249,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0820,-0.0117,0.0117,0.0469,0.0117","-0.0820,-0.0117,0.0117,0.0469,0.0117"
Reshape_7251,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0820,-0.0117,0.0117,0.0469,0.0117","-0.0820,-0.0117,0.0117,0.0469,0.0117"
Slice_7256,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0820,-0.0117,0.0117,0.0469,0.0117","-0.0820,-0.0117,0.0117,0.0469,0.0117"
/model/layers.22/attn/o_proj/MatMul_Q4,"0.0023,0.0022,0.0021,0.0014,0.0014",passed 100,failed 99,failed 12,"-0.0838,0.1814,-0.4866,2.4731,-1.3350","-0.0838,0.1815,-0.4866,2.4727,-1.3350"
/model/layers.22/post_attention_layernorm/SkipLayerNorm_/model/layers.22/post_attention_layernorm/output_3,"0.0034,0.0032,0.0025,0.0022,0.0022",passed 100,failed 95,failed 10,"0.1873,0.2157,0.1553,3.3771,-0.7679","0.1873,0.2158,0.1555,3.3770,-0.7681"
Multiply_7259,"0.0520,0.0331,0.0254,0.0221,0.0162",failed 99,failed 71,failed 13,"0.0351,0.0465,0.0241,11.4045,0.5897","0.0351,0.0466,0.0242,11.4062,0.5898"
/model/layers.22/post_attention_layernorm/SkipLayerNorm_,0.0011,passed 100,failed 0,failed 0,2.0011,2.0000
Add_7263,0.0011,passed 100,failed 0,failed 0,2.0011,2.0000
Sqrt_7264,0.0005,passed 100,passed 100,failed 0,1.4146,1.4141
