Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.3/input_layernorm/output_3,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0895,0.0787,0.8183,0.3848,0.2479","0.0895,0.0787,0.8183,0.3848,0.2479"
/model/layers.3/attn/o_proj/MatMul_Q4,"0.0013,0.0011,0.0010,0.0010,0.0010",passed 100,failed 99,failed 16,"-1.9411,-0.3229,0.3435,0.3314,-1.2226","-1.9414,-0.3230,0.3433,0.3315,-1.2227"
/model/layers.3/post_attention_layernorm/SkipLayerNorm_/model/layers.3/post_attention_layernorm/output_3,"0.0025,0.0020,0.0019,0.0017,0.0017",passed 100,failed 98,failed 12,"-1.6700,-0.2886,0.9854,1.2353,-0.6555","-1.6699,-0.2886,0.9854,1.2354,-0.6558"
/model/layers.3/post_attention_layernorm/SkipLayerNorm_,0.0000,passed 100,passed 100,passed 100,1.3271,1.3271
/model/layers.3/post_attention_layernorm/SkipLayerNorm__1,0.0004,passed 100,passed 100,failed 0,0.8681,0.8677
/model/layers.3/post_attention_layernorm/SkipLayerNorm_/model/layers.3/post_attention_layernorm/output_0,"0.0006,0.0005,0.0005,0.0004,0.0004",passed 100,passed 100,failed 55,"-0.1826,-0.0320,0.1094,0.1340,-0.0756","-0.1826,-0.0320,0.1094,0.1340,-0.0756"
/model/layers.3/mlp/gate_proj/MatMul_Q4,"0.0008,0.0008,0.0008,0.0008,0.0008",passed 100,passed 100,failed 21,"-0.2368,-0.0933,-0.2794,-0.3926,-0.2204","-0.2366,-0.0931,-0.2793,-0.3923,-0.2203"
/model/layers.3/mlp/act_fn/Sigmoid,"0.0005,0.0005,0.0005,0.0005,0.0005",passed 100,passed 100,failed 30,"0.4411,0.4767,0.4306,0.4031,0.4451","0.4412,0.4768,0.4307,0.4031,0.4451"
/model/layers.3/mlp/act_fn/Mul,"0.0010,0.0009,0.0008,0.0008,0.0008",passed 100,failed 99,failed 39,"-0.1044,-0.0445,-0.1203,-0.1583,-0.0981","-0.1044,-0.0444,-0.1203,-0.1581,-0.0981"
/model/layers.3/mlp/up_proj/MatMul_Q4,"0.0009,0.0008,0.0008,0.0008,0.0008",passed 100,passed 100,failed 22,"-0.0720,-0.3149,-0.0088,0.0701,-0.0753","-0.0719,-0.3147,-0.0089,0.0699,-0.0755"
/model/layers.3/mlp/Mul,"0.0008,0.0008,0.0007,0.0007,0.0007",passed 100,passed 100,failed 70,"0.0075,0.0140,0.0011,-0.0111,0.0074","0.0075,0.0140,0.0011,-0.0110,0.0074"
/model/layers.3/mlp/down_proj/MatMul_Q4,"0.0008,0.0007,0.0007,0.0007,0.0007",passed 100,passed 100,failed 20,"-0.1402,0.1375,-0.1389,-0.0391,0.1670","-0.1400,0.1373,-0.1388,-0.0391,0.1669"
/model/layers.4/input_layernorm/output_3,"0.0029,0.0028,0.0026,0.0026,0.0025",passed 100,failed 95,failed 10,"-1.8102,-0.1511,0.8465,1.1962,-0.4885","-1.8096,-0.1512,0.8467,1.1963,-0.4888"
/model/layers.4/input_layernorm/SkipLayerNorm_,0.0003,passed 100,passed 100,failed 0,1.3646,1.3643
/model/layers.4/input_layernorm/SkipLayerNorm__1,0.0001,passed 100,passed 100,passed 100,0.8560,0.8560
/model/layers.4/input_layernorm/SkipLayerNorm_/model/layers.4/input_layernorm/output_0,"0.0007,0.0006,0.0006,0.0005,0.0005",passed 100,passed 100,failed 41,"-0.3647,-0.0273,0.1444,0.2160,-0.0809","-0.3645,-0.0273,0.1444,0.2161,-0.0809"
/model/layers.4/attn/qkv_proj/MatMul/output_0,"0.0017,0.0016,0.0015,0.0014,0.0014",passed 100,failed 99,failed 14,"0.8179,0.6598,-1.4230,0.8962,0.3747","0.8184,0.6597,-1.4229,0.8960,0.3748"
