Subgraph,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
OpenVINO-EP-subgraph_1.xml,passed 100,['14'],['14']
OpenVINO-EP-subgraph_2.xml,passed 100,['-1'],['-1']
OpenVINO-EP-subgraph_3.xml,failed 29,"['-0.117074914,-0.12768534,0.8425858,1.2704774,0.7053785', '-0.70280725,0.7228709,-0.43856773,0.3254075,0.39462307']","['-0.11706543,-0.12768555,0.84277344,1.2705078,0.7050781', '-0.7036133,0.7236328,-0.43920898,0.32592773,0.39501953']"
OpenVINO-EP-subgraph_4.xml,failed 38,"['0.36306998,0.53892666,0.4935925,0.22651377,-0.91678214', '0.5487829,0.12848717,-1.1899189,0.5066395,0.63875926']","['0.3630371,0.5390625,0.49365234,0.2265625,-0.9169922', '0.5488281,0.12854004,-1.1894531,0.50683594,0.6386719']"
OpenVINO-EP-subgraph_5.xml,failed 15,"['0.89800864,0.49510443,0.14379175,0.6594903,1.6421983', '-0.66313285,0.2151756,-0.0012665894,-0.11658321,0.23259799']","['0.8979492,0.4951172,0.14440918,0.6591797,1.6416016', '-0.66259766,0.21472168,-0.0014562607,-0.11639404,0.23266602']"
OpenVINO-EP-subgraph_6.xml,failed 13,"['-1.8102416,-0.1511148,0.8465247,1.1961995,-0.488473', '0.8178929,0.6598099,-1.4229848,0.89621323,0.3746562']","['-1.8095703,-0.15124512,0.8466797,1.1962891,-0.48876953', '0.8183594,0.65966797,-1.4228516,0.8959961,0.37475586']"
OpenVINO-EP-subgraph_7.xml,failed 10,"['0.18569474,1.3953408,-0.12773895,0.54954475,0.27639058', '-0.57974195,0.25799388,0.18026754,-0.43468148,-0.1772426']","['0.18566895,1.3955078,-0.12756348,0.5493164,0.27490234', '-0.5800781,0.25805664,0.18041992,-0.43408203,-0.1772461']"
OpenVINO-EP-subgraph_8.xml,failed 10,"['0.32752398,0.16976511,-1.5151017,-0.67188406,0.20496807', '1.8748703,2.3231814,-0.6613482,1.4980053,0.062329605']","['0.32763672,0.1697998,-1.5166016,-0.6723633,0.20544434', '1.8740234,2.3242188,-0.6611328,1.4980469,0.06225586']"
OpenVINO-EP-subgraph_9.xml,failed 8,"['1.26428,-0.77717555,1.0177675,0.31179112,1.7546165', '1.2127593,0.4303755,0.8909559,0.5997439,-0.512642']","['1.2646484,-0.77734375,1.0175781,0.3112793,1.7539062', '1.2128906,0.4309082,0.8901367,0.5996094,-0.5126953']"
OpenVINO-EP-subgraph_10.xml,failed 8,"['0.4614929,0.3865438,1.6437409,1.4489385,1.2710654', '0.07945418,0.8985779,-0.718475,0.0396033,0.55138725']","['0.46142578,0.38598633,1.6445312,1.4482422,1.2705078', '0.07885742,0.8989258,-0.7192383,0.03918457,0.55126953']"
OpenVINO-EP-subgraph_11.xml,failed 7,"['-1.461579,0.5579493,0.30642503,-1.8858953,-0.4633962', '0.83417386,0.13172671,-0.7670903,-0.18994296,0.601678']","['-1.4619141,0.5576172,0.30566406,-1.8847656,-0.4633789', '0.8339844,0.13220215,-0.7661133,-0.19042969,0.6015625']"
OpenVINO-EP-subgraph_12.xml,failed 6,"['-1.0185204,-0.09077066,2.457191,-0.18239039,1.3653905', '-0.56820065,-0.470984,0.7260584,-1.5070884,-0.49416864']","['-1.0185547,-0.09033203,2.4550781,-0.18286133,1.3642578', '-0.5683594,-0.4711914,0.7260742,-1.5058594,-0.49316406']"
OpenVINO-EP-subgraph_13.xml,failed 7,"['1.9915287,1.7243991,-1.2323081,-1.4036441,-0.3220634', '0.25872037,0.56262064,-0.7581754,-0.5466274,0.31152755']","['1.9921875,1.7246094,-1.2324219,-1.4033203,-0.32250977', '0.25927734,0.5625,-0.7573242,-0.54833984,0.31152344']"
