Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.21/input_layernorm/output_3,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0895,0.0787,0.8183,0.3848,0.2479","0.0895,0.0787,0.8183,0.3848,0.2479"
ConvertLike_7111,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"8.0000,0.0000,3.0000,10.0000,10.0000","8.0000,0.0000,3.0000,10.0000,10.0000"
Transpose_7113,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"8.0000,8.0000,9.0000,8.0000,8.0000","8.0000,8.0000,9.0000,8.0000,8.0000"
Subtract_7114,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0000,0.0000,1.0000,0.0000,0.0000","0.0000,0.0000,1.0000,0.0000,0.0000"
Multiply_7115,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0000,-0.0000,0.0102,-0.0000,-0.0000","-0.0000,-0.0000,0.0102,-0.0000,-0.0000"
Transpose_7116,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0000,0.0947,0.0592,-0.0237,-0.0237","-0.0000,0.0947,0.0592,-0.0237,-0.0237"
Reshape_7118,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0000,0.0947,0.0592,-0.0237,-0.0237","-0.0000,0.0947,0.0592,-0.0237,-0.0237"
Slice_7123,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0000,0.0947,0.0592,-0.0237,-0.0237","-0.0000,0.0947,0.0592,-0.0237,-0.0237"
/model/layers.21/attn/o_proj/MatMul_Q4,"0.0013,0.0013,0.0013,0.0013,0.0013",passed 100,failed 98,failed 12,"-0.3044,0.4115,0.2027,-0.8777,1.4019","-0.3042,0.4114,0.2024,-0.8774,1.4014"
/model/layers.21/post_attention_layernorm/SkipLayerNorm_/model/layers.21/post_attention_layernorm/output_3,"0.0029,0.0024,0.0019,0.0019,0.0018",passed 100,failed 95,failed 10,"-0.0333,0.4458,0.8445,0.0262,1.9689","-0.0332,0.4458,0.8447,0.0264,1.9688"
Multiply_7126,"0.0210,0.0169,0.0142,0.0134,0.0126",failed 99,failed 72,failed 14,"0.0011,0.1988,0.7133,0.0007,3.8766","0.0011,0.1987,0.7134,0.0007,3.8750"
/model/layers.21/post_attention_layernorm/SkipLayerNorm_,0.0000,passed 100,passed 100,passed 100,1.8242,1.8242
Add_7130,0.0000,passed 100,passed 100,passed 100,1.8242,1.8242
Sqrt_7131,0.0000,passed 100,passed 100,passed 100,1.3506,1.3506
/model/layers.21/post_attention_layernorm/SkipLayerNorm__1,0.0002,passed 100,passed 100,failed 0,0.7404,0.7402
Multiply_7134,"0.0032,0.0023,0.0022,0.0022,0.0022",passed 100,failed 95,failed 12,"-0.0247,0.3301,0.6253,0.0194,1.4578","-0.0246,0.3301,0.6255,0.0195,1.4570"
/model/layers.21/post_attention_layernorm/SkipLayerNorm_/model/layers.21/post_attention_layernorm/output_0,"0.0011,0.0010,0.0010,0.0009,0.0009",passed 100,failed 99,failed 28,"-0.0093,0.1199,0.2394,0.0072,0.5495","-0.0093,0.1199,0.2395,0.0072,0.5493"
ConvertLike_7138,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"3.0000,9.0000,10.0000,11.0000,15.0000","3.0000,9.0000,10.0000,11.0000,15.0000"
Transpose_7140,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"3.0000,11.0000,9.0000,9.0000,12.0000","3.0000,11.0000,9.0000,9.0000,12.0000"
Subtract_7141,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-5.0000,3.0000,1.0000,1.0000,4.0000","-5.0000,3.0000,1.0000,1.0000,4.0000"
Multiply_7142,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0613,-0.0399,0.0154,-0.0138,0.0454","0.0613,-0.0399,0.0154,-0.0138,0.0454"
Transpose_7143,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0613,-0.0123,-0.0245,-0.0368,-0.0859","0.0613,-0.0123,-0.0245,-0.0368,-0.0859"
Reshape_7145,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0613,-0.0123,-0.0245,-0.0368,-0.0859","0.0613,-0.0123,-0.0245,-0.0368,-0.0859"
Slice_7150,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0613,-0.0123,-0.0245,-0.0368,-0.0859","0.0613,-0.0123,-0.0245,-0.0368,-0.0859"
/model/layers.21/mlp/gate_proj/MatMul_Q4,"0.0036,0.0022,0.0022,0.0020,0.0020",passed 100,failed 98,failed 10,"1.4203,0.7447,-0.5379,-0.9336,0.4232","1.4199,0.7451,-0.5376,-0.9331,0.4231"
/model/layers.21/mlp/act_fn/Sigmoid,"0.0006,0.0006,0.0006,0.0006,0.0006",passed 100,passed 100,failed 25,"0.8054,0.6780,0.3687,0.2822,0.6042","0.8052,0.6782,0.3687,0.2822,0.6040"
/model/layers.21/mlp/act_fn/Mul,"0.0024,0.0023,0.0023,0.0022,0.0020",passed 100,failed 98,failed 23,"1.1439,0.5049,-0.1983,-0.2635,0.2557","1.1436,0.5054,-0.1982,-0.2634,0.2556"
ConvertLike_7156,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"5.0000,6.0000,14.0000,10.0000,10.0000","5.0000,6.0000,14.0000,10.0000,10.0000"
Transpose_7158,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"5.0000,0.0000,6.0000,5.0000,12.0000","5.0000,0.0000,6.0000,5.0000,12.0000"
Subtract_7159,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-3.0000,-8.0000,-2.0000,-3.0000,4.0000","-3.0000,-8.0000,-2.0000,-3.0000,4.0000"
Multiply_7160,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0306,0.0835,0.0197,0.0308,0.0483","-0.0306,0.0835,0.0197,0.0308,0.0483"
Transpose_7161,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0306,-0.0204,0.0612,0.0204,0.0204","-0.0306,-0.0204,0.0612,0.0204,0.0204"
Reshape_7163,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0306,-0.0204,0.0612,0.0204,0.0204","-0.0306,-0.0204,0.0612,0.0204,0.0204"
Slice_7168,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0306,-0.0204,0.0612,0.0204,0.0204","-0.0306,-0.0204,0.0612,0.0204,0.0204"
