Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
OpenVINO-EP-subgraph_1.xml,0.0000,passed 100,passed 100,passed 100,14.0000,14.0000
OpenVINO-EP-subgraph_2.xml,0.0000,passed 100,passed 100,passed 100,-1.0000,-1.0000
OpenVINO-EP-subgraph_3.xml,"0.0019,0.0019,0.0018,0.0017,0.0016",passed 100,failed 99,failed 29,"-0.1171,-0.1277,0.8426,1.2705,0.7054,-0.7028,0.7229,-0.4386,0.3254,0.3946","-0.1171,-0.1277,0.8428,1.2705,0.7051,-0.7036,0.7236,-0.4392,0.3259,0.3950"
OpenVINO-EP-subgraph_4.xml,"0.0024,0.0023,0.0020,0.0020,0.0018",passed 100,failed 99,failed 38,"0.3631,0.5389,0.4936,0.2265,-0.9168,0.5488,0.1285,-1.1899,0.5066,0.6388","0.3630,0.5391,0.4937,0.2266,-0.9170,0.5488,0.1285,-1.1895,0.5068,0.6387"
OpenVINO-EP-subgraph_5.xml,"0.0023,0.0020,0.0020,0.0020,0.0019",passed 100,failed 98,failed 15,"0.8980,0.4951,0.1438,0.6595,1.6422,-0.6631,0.2152,-0.0013,-0.1166,0.2326","0.8979,0.4951,0.1444,0.6592,1.6416,-0.6626,0.2147,-0.0015,-0.1164,0.2327"
OpenVINO-EP-subgraph_6.xml,"0.0029,0.0028,0.0026,0.0026,0.0025",passed 100,failed 98,failed 13,"-1.8102,-0.1511,0.8465,1.1962,-0.4885,0.8179,0.6598,-1.4230,0.8962,0.3747","-1.8096,-0.1512,0.8467,1.1963,-0.4888,0.8184,0.6597,-1.4229,0.8960,0.3748"
OpenVINO-EP-subgraph_7.xml,"0.0024,0.0022,0.0021,0.0021,0.0021",passed 100,failed 97,failed 10,"0.1857,1.3953,-0.1277,0.5495,0.2764,-0.5797,0.2580,0.1803,-0.4347,-0.1772","0.1857,1.3955,-0.1276,0.5493,0.2749,-0.5801,0.2581,0.1804,-0.4341,-0.1772"
OpenVINO-EP-subgraph_8.xml,"0.0027,0.0026,0.0025,0.0025,0.0024",passed 100,failed 95,failed 10,"0.3275,0.1698,-1.5151,-0.6719,0.2050,1.8749,2.3232,-0.6613,1.4980,0.0623","0.3276,0.1698,-1.5166,-0.6724,0.2054,1.8740,2.3242,-0.6611,1.4980,0.0623"
OpenVINO-EP-subgraph_9.xml,"0.0030,0.0028,0.0028,0.0028,0.0027",passed 100,failed 94,failed 8,"1.2643,-0.7772,1.0178,0.3118,1.7546,1.2128,0.4304,0.8910,0.5997,-0.5126","1.2646,-0.7773,1.0176,0.3113,1.7539,1.2129,0.4309,0.8901,0.5996,-0.5127"
OpenVINO-EP-subgraph_10.xml,"0.0135,0.0077,0.0058,0.0032,0.0032",failed 99,failed 93,failed 8,"0.4615,0.3865,1.6437,1.4489,1.2711,0.0795,0.8986,-0.7185,0.0396,0.5514","0.4614,0.3860,1.6445,1.4482,1.2705,0.0789,0.8989,-0.7192,0.0392,0.5513"
OpenVINO-EP-subgraph_11.xml,"0.0060,0.0043,0.0039,0.0038,0.0037",passed 100,failed 88,failed 7,"-1.4616,0.5579,0.3064,-1.8859,-0.4634,0.8342,0.1317,-0.7671,-0.1899,0.6017","-1.4619,0.5576,0.3057,-1.8848,-0.4634,0.8340,0.1322,-0.7661,-0.1904,0.6016"
OpenVINO-EP-subgraph_12.xml,"0.0051,0.0050,0.0049,0.0045,0.0041",passed 100,failed 87,failed 6,"-1.0185,-0.0908,2.4572,-0.1824,1.3654,-0.5682,-0.4710,0.7261,-1.5071,-0.4942","-1.0186,-0.0903,2.4551,-0.1829,1.3643,-0.5684,-0.4712,0.7261,-1.5059,-0.4932"
OpenVINO-EP-subgraph_13.xml,"0.0038,0.0038,0.0036,0.0035,0.0034",passed 100,failed 87,failed 7,"1.9915,1.7244,-1.2323,-1.4036,-0.3221,0.2587,0.5626,-0.7582,-0.5466,0.3115","1.9922,1.7246,-1.2324,-1.4033,-0.3225,0.2593,0.5625,-0.7573,-0.5483,0.3115"
OpenVINO-EP-subgraph_14.xml,"0.0060,0.0050,0.0037,0.0036,0.0033",passed 100,failed 88,failed 7,"1.4178,0.6872,-1.2296,2.2148,2.1169,-0.9897,0.0596,0.7514,-0.4629,1.5052","1.4189,0.6875,-1.2285,2.2148,2.1172,-0.9897,0.0599,0.7520,-0.4624,1.5049"
OpenVINO-EP-subgraph_15.xml,"0.0159,0.0147,0.0093,0.0090,0.0059",failed 99,failed 70,failed 4,"-2.3106,-0.5508,-0.4303,1.3141,-0.8413,-0.1435,-1.6292,1.3146,-0.8609,-0.6550","-2.3105,-0.5522,-0.4292,1.3164,-0.8403,-0.1437,-1.6309,1.3164,-0.8618,-0.6553"
OpenVINO-EP-subgraph_16.xml,"0.0130,0.0066,0.0049,0.0048,0.0046",failed 99,failed 75,failed 4,"-0.1526,-1.3890,0.4868,0.7395,-0.2086,1.4501,-1.6706,1.5684,-1.4049,0.7007","-0.1538,-1.3906,0.4883,0.7393,-0.2087,1.4502,-1.6709,1.5684,-1.4043,0.7017"
